net,class,dist_mm,ax,ay,a,bx,by,b
P0.27,A,69.496,34.2500,37.2500,Pad 84 [P0.27] of U1 on F.Cu,91.9400,76.0000,PTH pad 12 [P0.27] of J13
P0.28,A,68.747,35.2500,41.1000,Via [P0.28] on F.Cu - B.Cu,94.4800,76.0000,PTH pad 13 [P0.28] of J13
P0.29,A,72.495,35.7500,37.2500,Pad 87 [P0.29] of U1 on F.Cu,97.0200,76.0000,PTH pad 14 [P0.29] of J13
P0.30,A,74.227,36.2500,37.2500,"Track [P0.30] on F.Cu, length 3.8500 mm",99.5600,76.0000,PTH pad 15 [P0.30] of J13
P0.31,A,75.975,36.7500,37.2500,Pad 89 [P0.31] of U1 on F.Cu,102.1000,76.0000,PTH pad 16 [P0.31] of J13
SIM_1V8,A,46.507,72.9000,44.1000,"Track [SIM_1V8] on F.Cu, length 4.5000 mm",29.7500,26.7500,Pad 49 [SIM_1V8] of U1 on F.Cu
SIM_CLK,A,41.382,31.2500,26.7500,Pad 46 [SIM_CLK] of U1 on F.Cu,68.1400,45.5000,"Track [SIM_CLK] on B.Cu, length 8.9000 mm"
SIM_IO,A,51.975,30.2500,26.7500,Pad 48 [SIM_IO] of U1 on F.Cu,75.6800,52.0000,"Track [SIM_IO] on F.Cu, length 4.6000 mm"
SIM_RST,A,44.352,32.7500,26.7500,Pad 43 [SIM_RST] of U1 on F.Cu,71.6800,48.0000,"Track [SIM_RST] on B.Cu, length 4.2000 mm"
VDD_GPIO,A,13.160,44.0000,31.5000,Pad 12 [VDD_GPIO] of U1 on F.Cu,39.5200,19.1258,"Track [VDD_GPIO] on F.Cu, length 0.6500 mm"
VDD_GPIO,A,15.196,108.0000,31.0800,"Track [VDD_GPIO] on B.Cu, length 2.6000 mm",116.0000,18.1600,"Track [VDD_GPIO] on B.Cu, length 8.0000 mm"
VDD_GPIO,A,18.969,70.0000,14.8000,"Track [VDD_GPIO] on B.Cu, length 21.9500 mm",78.0000,32.0000,"Track [VDD_GPIO] on F.Cu, length 2.8625 mm"
VDD_GPIO,A,33.671,44.0000,31.5000,Pad 12 [VDD_GPIO] of U1 on F.Cu,14.0000,46.7875,Pad 1 [VDD_GPIO] of FB5 on F.Cu
VDD_GPIO,A,34.392,75.1375,32.0000,"Track [VDD_GPIO] on F.Cu, length 7.0500 mm",58.3200,62.0000,"Track [VDD_GPIO] on F.Cu, length 16.7194 mm"
ANT_FIT,C,4.470,19.5200,36.0000,Pad 1 [ANT_FIT] of C22 on F.Cu,21.5150,32.0000,"Track [ANT_FIT] on F.Cu, length 10.3216 mm"
AUX,C,17.355,28.2500,33.0000,"Track [AUX] on F.Cu, length 7.7650 mm",19.5200,48.0000,Pad 1 [AUX] of C23 on F.Cu
AUX_FIT,C,23.000,19.5200,56.0000,Pad 1 [AUX_FIT] of C24 on F.Cu,19.5150,33.0000,"Track [AUX_FIT] on F.Cu, length 7.5150 mm"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0"
P0.08,F,32.730,78.3750,24.0000,"Track [P0.08] on F.Cu, length 2.0000 mm",46.2000,30.0000,Via [P0.08] on F.Cu - B.Cu
P0.08,F,49.281,44.0000,30.0000,"Track [P0.08] on F.Cu, length 2.2000 mm",26.3200,76.0000,PTH pad 9 [P0.08] of J12
SWDCLK,F,26.202,51.9500,4.7300,"Track [SWDCLK] on F.Cu, length 10.0500 mm",37.7500,26.7500,Pad 33 [SWDCLK] of U1 on F.Cu
VIN_F,F,24.444,48.0000,12.6000,"Track [VIN_F] on F.Cu, length 1.3000 mm",71.5750,19.0600,"Track [VIN_F] on F.Cu, length 0.3750 mm"
VIN_FILT,F,10.131,55.3500,12.0000,"Track [VIN_FILT] on F.Cu, length 1.3000 mm",53.2000,21.9000,"Track [VIN_FILT] on F.Cu, length 1.3000 mm"
nRESET,F,68.922,101.6800,58.8000,"Track [nRESET] on B.Cu, length 32.8000 mm",52.2200,10.8000,"Track [nRESET] on F.Cu, length 1.4300 mm"
P0.19,G,23.105,53.2400,62.0000,PTH pad 7 [P0.19] of J18,71.6200,76.0000,PTH pad 4 [P0.19] of J13
P0.21,G,62.036,76.7000,76.0000,PTH pad 6 [P0.21] of J13,116.0000,28.0000,PTH pad 1 [P0.21] of J10
P0.22,G,58.463,79.2400,76.0000,PTH pad 7 [P0.22] of J13,116.0000,30.5400,PTH pad 2 [P0.22] of J10
P0.23,G,54.892,81.7800,76.0000,PTH pad 8 [P0.23] of J13,116.0000,33.0800,PTH pad 3 [P0.23] of J10
P0.24,G,51.324,84.3200,76.0000,PTH pad 9 [P0.24] of J13,116.0000,35.6200,PTH pad 4 [P0.24] of J10
P0.30,G,34.209,99.5600,76.0000,PTH pad 15 [P0.30] of J13,116.0000,46.0000,PTH pad 1 [P0.30] of J11
P0.31,G,30.778,102.1000,76.0000,PTH pad 16 [P0.31] of J13,116.0000,48.5400,PTH pad 2 [P0.31] of J11
